Registry Key,Change Type,Value Name,Value Data,Value Type,Value Data Changed To,Value Type Changed To,Key Modified Time 1,Key Modified Time 2
HKEY_LOCAL_MACHINE\System\ControlSet001\Services\bam\UserSettings\S-1-5-21-2119625379-2900472558-1849789986-1001,Modified Value,\Device\HarddiskVolume2\Windows\System32\rundll32.exe,D1 D7 5A 03 32 A2 D3 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 ,REG_BINARY,84 6F 95 02 32 A2 D3 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 ,REG_BINARY,10/02/2018 05:43:53,10/02/2018 05:43:49
HKEY_LOCAL_MACHINE\System\ControlSet001\Services\bam\UserSettings\S-1-5-21-2119625379-2900472558-1849789986-1001,Removed Value,\Device\HarddiskVolume2\Users\qub\Desktop\Tor Browser\Browser\firefox.exe,93 93 58 1B 32 A2 D3 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 ,REG_BINARY,,,10/02/2018 05:43:53,10/02/2018 05:43:49
HKEY_LOCAL_MACHINE\System\ControlSet001\Services\bam\UserSettings\S-1-5-21-2119625379-2900472558-1849789986-1001,Added Value,\Device\HarddiskVolume2\Users\qub\AppData\Local\Temp\7zSBC2B.tmp\setup.exe,34 EA FB 12 32 A2 D3 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 ,REG_BINARY,,,10/02/2018 05:43:53,10/02/2018 05:43:49
HKEY_LOCAL_MACHINE\System\ControlSet001\Services\bam\UserSettings\S-1-5-21-2119625379-2900472558-1849789986-1001,Added Value,\Device\HarddiskVolume2\Program Files\Mozilla Firefox\firefox.exe,A9 9C 23 1C 32 A2 D3 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 ,REG_BINARY,,,10/02/2018 05:43:53,10/02/2018 05:43:49
HKEY_LOCAL_MACHINE\System\ControlSet001\Services\bam\UserSettings\S-1-5-90-0-1,Modified Value,\Device\HarddiskVolume2\Windows\System32\dwm.exe,EA 9C 2A F9 31 A2 D3 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 ,REG_BINARY,0E AC 16 F5 31 A2 D3 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 ,REG_BINARY,10/02/2018 05:42:44,10/02/2018 05:42:37
HKEY_LOCAL_MACHINE\System\ControlSet001\Services\LanmanServer\Parameters,Modified Value,Guid,E9 37 1A 83 07 34 32 49 B4 6C 16 5C 48 51 EB E7 ,REG_BINARY,13 36 8E 8D E7 F3 E0 43 A0 01 2C D6 48 26 F2 88 ,REG_BINARY,10/02/2018 05:42:31,10/02/2018 05:42:27
HKEY_LOCAL_MACHINE\System\ControlSet001\Services\MozillaMaintenance,Added Key,,,,,,,10/02/2018 05:43:24
HKEY_LOCAL_MACHINE\System\ControlSet001\Services\MozillaMaintenance,Added Value,Type,16,REG_DWORD,,,,10/02/2018 05:43:24
HKEY_LOCAL_MACHINE\System\ControlSet001\Services\MozillaMaintenance,Added Value,Start,3,REG_DWORD,,,,10/02/2018 05:43:24
HKEY_LOCAL_MACHINE\System\ControlSet001\Services\MozillaMaintenance,Added Value,ErrorControl,1,REG_DWORD,,,,10/02/2018 05:43:24
