Registry Key,Change Type,Value Name,Value Data,Value Type,Value Data Changed To,Value Type Changed To,Key Modified Time 1,Key Modified Time 2
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\ACPI\PNP0200\4&1d401fb5&0\Properties\{80497100-8c73-48b9-aad9-ce387e19c56e}\0006,Modified Value,,01 00 00 00 ,REG_MULTI_SZ,02 00 00 00 ,REG_MULTI_SZ,10/02/2018 05:37:06,10/02/2018 05:42:16
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\ACPI\PNP0200\4&1d401fb5&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,72 B8 F9 2F 31 A2 D3 01 ,,9B B0 E4 28 33 A2 D3 01 ,,10/02/2018 05:37:06,10/02/2018 05:51:13
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\ACPI\PNP0303\4&1d401fb5&0\Properties\{80497100-8c73-48b9-aad9-ce387e19c56e}\0006,Modified Value,,01 00 00 00 ,REG_MULTI_SZ,02 00 00 00 ,REG_MULTI_SZ,10/02/2018 05:37:06,10/02/2018 05:42:16
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\ACPI\PNP0303\4&1d401fb5&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,72 B8 F9 2F 31 A2 D3 01 ,,9B B0 E4 28 33 A2 D3 01 ,,10/02/2018 05:37:06,10/02/2018 05:51:13
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\ACPI\PNP0A03\0\Properties\{80497100-8c73-48b9-aad9-ce387e19c56e}\0006,Modified Value,,01 00 00 00 ,REG_MULTI_SZ,02 00 00 00 ,REG_MULTI_SZ,10/02/2018 05:37:06,10/02/2018 05:42:16
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\ACPI\PNP0A03\0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,62 57 F7 2F 31 A2 D3 01 ,,36 39 CF 28 33 A2 D3 01 ,,10/02/2018 05:37:06,10/02/2018 05:51:13
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\ACPI\PNP0F03\4&1d401fb5&0\Properties\{80497100-8c73-48b9-aad9-ce387e19c56e}\0006,Modified Value,,01 00 00 00 ,REG_MULTI_SZ,02 00 00 00 ,REG_MULTI_SZ,10/02/2018 05:37:06,10/02/2018 05:42:16
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\ACPI\PNP0F03\4&1d401fb5&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,72 B8 F9 2F 31 A2 D3 01 ,,9B B0 E4 28 33 A2 D3 01 ,,10/02/2018 05:37:06,10/02/2018 05:51:13
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\ACPI_HAL\PNP0C08\0\Properties\{80497100-8c73-48b9-aad9-ce387e19c56e}\0006,Modified Value,,01 00 00 00 ,REG_MULTI_SZ,02 00 00 00 ,REG_MULTI_SZ,10/02/2018 05:37:06,10/02/2018 05:42:16
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\ACPI_HAL\PNP0C08\0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,04 A7 F2 2F 31 A2 D3 01 ,,0B EE CC 28 33 A2 D3 01 ,,10/02/2018 05:37:06,10/02/2018 05:51:13
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\DISPLAY\Default_Monitor\4&2abfaa30&0&UID0\Properties\{80497100-8c73-48b9-aad9-ce387e19c56e}\0006,Modified Value,,01 00 00 00 ,REG_MULTI_SZ,02 00 00 00 ,REG_MULTI_SZ,10/02/2018 05:37:08,10/02/2018 05:42:19
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\DISPLAY\Default_Monitor\4&2abfaa30&0&UID0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,02 CB D9 30 31 A2 D3 01 ,,6E 48 DA 29 33 A2 D3 01 ,,10/02/2018 05:37:08,10/02/2018 05:51:15
