"378","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\Mozilla Firefox 58.0.2 (x86 en-US)",\N,"UninstallString","\"C:\\Program Files\\Mozilla Firefox\\uninstall\\helper.exe\"","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"379","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\Mozilla Firefox 58.0.2 (x86 en-US)",\N,"URLUpdateInfo","https://www.mozilla.org/firefox/58.0.2/releasenotes","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"380","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\Mozilla Firefox 58.0.2 (x86 en-US)",\N,"URLInfoAbout","https://www.mozilla.org","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"381","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\Mozilla Firefox 58.0.2 (x86 en-US)",\N,"NoModify","1","1","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"382","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\Mozilla Firefox 58.0.2 (x86 en-US)",\N,"NoRepair","1","1","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"383","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\Mozilla Firefox 58.0.2 (x86 en-US)",\N,"EstimatedSize","134706","1","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"384","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\MozillaMaintenanceService","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"385","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\MozillaMaintenanceService",\N,"DisplayName","Mozilla Maintenance Service","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"386","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\MozillaMaintenanceService",\N,"UninstallString","\"C:\\Program Files\\Mozilla Maintenance Service\\uninstall.exe\"","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"387","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\MozillaMaintenanceService",\N,"DisplayIcon","C:\\Program Files\\Mozilla Maintenance Service\\Uninstall.exe,0","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"388","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\MozillaMaintenanceService",\N,"DisplayVersion","58.0.2","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"389","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\MozillaMaintenanceService",\N,"Publisher","Mozilla","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"390","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\MozillaMaintenanceService",\N,"Comments","Mozilla Maintenance Service","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"391","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\MozillaMaintenanceService",\N,"NoModify","1","1","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"392","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\MozillaMaintenanceService",\N,"EstimatedSize","259","1","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"398","HKEY_LOCAL_MACHINE\\Software\\Mozilla","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"399","HKEY_LOCAL_MACHINE\\Software\\mozilla.org","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:22"
"400","HKEY_LOCAL_MACHINE\\Software\\mozilla.org\\Mozilla","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:22"
"401","HKEY_LOCAL_MACHINE\\Software\\mozilla.org\\Mozilla",\N,"CurrentVersion","58.0.2","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:22"
"402","HKEY_LOCAL_MACHINE\\Software\\Mozilla\\Firefox","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:20"
"403","HKEY_LOCAL_MACHINE\\Software\\Mozilla\\Firefox\\TaskBarIDs","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:20"
"404","HKEY_LOCAL_MACHINE\\Software\\Mozilla\\Firefox\\TaskBarIDs",\N,"C:\\Program Files\\Mozilla Firefox","308046B0AF4A39CB","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:20"
"405","HKEY_LOCAL_MACHINE\\Software\\Mozilla\\MaintenanceService","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"406","HKEY_LOCAL_MACHINE\\Software\\Mozilla\\MaintenanceService",\N,"Attempted","1","1","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"407","HKEY_LOCAL_MACHINE\\Software\\Mozilla\\MaintenanceService",\N,"Installed","1","1","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"408","HKEY_LOCAL_MACHINE\\Software\\Mozilla\\MaintenanceService\\f9b87e891978e3145f0f8f9953eadc00","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"409","HKEY_LOCAL_MACHINE\\Software\\Mozilla\\MaintenanceService\\f9b87e891978e3145f0f8f9953eadc00\\0","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"410","HKEY_LOCAL_MACHINE\\Software\\Mozilla\\MaintenanceService\\f9b87e891978e3145f0f8f9953eadc00\\0",\N,"name","Mozilla Corporation","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"411","HKEY_LOCAL_MACHINE\\Software\\Mozilla\\MaintenanceService\\f9b87e891978e3145f0f8f9953eadc00\\0",\N,"issuer","DigiCert SHA2 Assured ID Code Signing CA","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"412","HKEY_LOCAL_MACHINE\\Software\\Mozilla\\MaintenanceService\\f9b87e891978e3145f0f8f9953eadc00\\1","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"413","HKEY_LOCAL_MACHINE\\Software\\Mozilla\\MaintenanceService\\f9b87e891978e3145f0f8f9953eadc00\\1",\N,"name","Mozilla Corporation","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
